set;number;no_foil;foil
tafr;1;false;false
tafr;2;false;false
tafr;3;false;false
tafr;4;false;false
tafr;5;false;false
tafr;6;false;false
tafr;7;false;false
tafr;8;false;false
tafr;9;false;false
tafr;10;false;false
tafr;11;false;false
tafr;12;false;false
tafr;13;false;false
tafr;14;false;false
tafr;15;false;false
tafr;16;false;false
tafr;17;false;false
tafr;18;false;false
tafr;19;false;false
tafr;20;false;false
tafr;21;false;false
tafr;22;false;false
