set;number;no_foil;foil
f13;1;false;false
f13;2;false;false
f13;3;false;false
f13;4;false;false
f13;5;false;false
f13;6;false;false
f13;7;false;false
f13;8;false;false
f13;9;false;false
f13;10;false;false
f13;11;false;false
f13;12;false;false
